modo_transporte,ciudad,tipo_indicador,valor,fecha
Metro,Madrid,Viajeros,44.81,2022-02-01
Autobús Urbano,Madrid,Viajeros,35.38,2022-03-01
Metro,Madrid,Viajeros,52.84,2022-03-01
Autobús Urbano,Madrid,Viajeros,30.26,2022-04-01
Metro,Madrid,Viajeros,46.53,2022-04-01
Autobús Urbano,Madrid,Viajeros,33.68,2022-05-01
Metro,Madrid,Viajeros,50.34,2022-05-01
Autobús Urbano,Madrid,Viajeros,32.51,2022-06-01
Metro,Madrid,Viajeros,48.2,2022-06-01
Autobús Urbano,Madrid,Viajeros,25.22,2022-07-01
Metro,Madrid,Viajeros,40.76,2022-07-01
Autobús Urbano,Madrid,Viajeros,20.45,2022-08-01
Metro,Madrid,Viajeros,31.91,2022-08-01
Autobús Urbano,Madrid,Viajeros,33.94,2022-09-01
Metro,Madrid,Viajeros,51.16,2022-09-01
Autobús Urbano,Madrid,Viajeros,36.34,2022-10-01
Metro,Madrid,Viajeros,56.08,2022-10-01
Autobús Urbano,Madrid,Viajeros,36.08,2022-11-01
Metro,Madrid,Viajeros,56.17,2022-11-01
Autobús Urbano,Madrid,Viajeros,32.81,2022-12-01
Metro,Madrid,Viajeros,53.2,2022-12-01
Autobús Urbano,Madrid,Viajeros,34.67,2023-01-01
Metro,Madrid,Viajeros,54.42,2023-01-01
Autobús Urbano,Madrid,Viajeros,35.22,2023-02-01
Metro,Madrid,Viajeros,55.34,2023-02-01
Autobús Urbano,Madrid,Viajeros,40.37,2023-03-01
Metro,Madrid,Viajeros,61.49,2023-03-01
Autobús Urbano,Madrid,Viajeros,35.05,2023-04-01
Metro,Madrid,Viajeros,54.1,2023-04-01
Autobús Urbano,Madrid,Viajeros,39.24,2023-05-01
Metro,Madrid,Viajeros,58.49,2023-05-01
Autobús Urbano,Madrid,Viajeros,40.08,2023-06-01
Metro,Madrid,Viajeros,57.07,2023-06-01
Autobús Urbano,Madrid,Viajeros,35.78,2023-07-01
Metro,Madrid,Viajeros,47.86,2023-07-01
Autobús Urbano,Madrid,Viajeros,27.98,2023-08-01
Metro,Madrid,Viajeros,36.49,2023-08-01
Autobús Urbano,Madrid,Viajeros,42.46,2023-09-01
Metro,Madrid,Viajeros,54.82,2023-09-01
Autobús Urbano,Madrid,Viajeros,44.11,2023-10-01
Metro,Madrid,Viajeros,62.23,2023-10-01
Autobús Urbano,Madrid,Viajeros,41.98,2023-11-01
Metro,Madrid,Viajeros,61.57,2023-11-01
Autobús Urbano,Madrid,Viajeros,37.69,2023-12-01
Metro,Madrid,Viajeros,58.42,2023-12-01
Autobús Urbano,Madrid,Viajeros,40.24,2024-01-01
Metro,Madrid,Viajeros,58.88,2024-01-01
Autobús Urbano,Madrid,Viajeros,41.47,2024-02-01
Metro,Madrid,Viajeros,61.47,2024-02-01
Autobús Urbano,Madrid,Viajeros,39.07,2024-03-01
Metro,Madrid,Viajeros,59.13,2024-03-01
Autobús Urbano,Madrid,Viajeros,44.2,2024-04-01
Metro,Madrid,Viajeros,64.26,2024-04-01
Autobús Urbano,Madrid,Viajeros,42.46,2024-05-01
Metro,Madrid,Viajeros,62.33,2024-05-01
Autobús Urbano,Madrid,Viajeros,40.32,2024-06-01
Metro,Madrid,Viajeros,58.8,2024-06-01
Autobús Urbano,Madrid,Viajeros,34.08,2024-07-01
Metro,Madrid,Viajeros,52.44,2024-07-01
Autobús Urbano,Madrid,Viajeros,25.8,2024-08-01
Metro,Madrid,Viajeros,39.57,2024-08-01
Autobús Urbano,Madrid,Viajeros,40.13,2024-09-01
Metro,Madrid,Viajeros,59.82,2024-09-01
Autobús Urbano,Madrid,Viajeros,45.86,2024-10-01
Metro,Madrid,Viajeros,69.47,2024-10-01
Autobús Urbano,Madrid,Viajeros,42.53,2024-11-01
Metro,Madrid,Viajeros,65.96,2024-11-01
Autobús Urbano,Madrid,Viajeros,39.92,2024-12-01
Metro,Madrid,Viajeros,63.06,2024-12-01
Autobús Urbano,Madrid,Viajeros,40.82,2025-01-01
Metro,Madrid,Viajeros,62.13,2025-01-01
Autobús Urbano,Madrid,Viajeros,41.49,2025-02-01
Metro,Madrid,Viajeros,62.39,2025-02-01
Autobús Urbano,Madrid,Viajeros,43.74,2025-03-01
Metro,Madrid,Viajeros,66.71,2025-03-01
Autobús Urbano,Madrid,Viajeros,40.46,2025-04-01
Metro,Madrid,Viajeros,59.81,2025-04-01
Autobús Urbano,Madrid,Viajeros,43.7,2025-05-01
Metro,Madrid,Viajeros,63.5,2025-05-01
Autobús Urbano,Madrid,Viajeros,47.56,2025-06-01
Metro,Madrid,Viajeros,61.42,2025-06-01
